=== MATH333 Final Project Output ===
Generated: 2025-11-26 03:29:32
Output file: Nperiods1000_results/output_20251126_032932.txt

c = 0.0000, d = 0.0000, E(c,d) = 4.0553e-03
c = 0.0000, d = 0.1000, E(c,d) = 1.3222e-03
c = 0.0000, d = 0.2000, E(c,d) = 1.8589e-02
c = 0.0000, d = 0.3000, E(c,d) = 5.5856e-02
c = 0.0000, d = 0.4000, E(c,d) = 1.1312e-01
c = 0.0000, d = 0.5000, E(c,d) = 1.9039e-01
c = 0.0000, d = 0.6000, E(c,d) = 2.8766e-01
c = 0.0000, d = 0.7000, E(c,d) = 4.0492e-01
c = 0.0000, d = 0.8000, E(c,d) = 5.4219e-01
c = 0.0000, d = 0.9000, E(c,d) = 6.9946e-01
c = 0.0000, d = 1.0000, E(c,d) = 8.7672e-01
c = 0.1000, d = 0.0000, E(c,d) = 1.4339e-02
c = 0.1000, d = 0.1000, E(c,d) = 1.1606e-02
c = 0.1000, d = 0.2000, E(c,d) = 2.8873e-02
c = 0.1000, d = 0.3000, E(c,d) = 6.6139e-02
c = 0.1000, d = 0.4000, E(c,d) = 1.2341e-01
c = 0.1000, d = 0.5000, E(c,d) = 2.0067e-01
c = 0.1000, d = 0.6000, E(c,d) = 2.9794e-01
c = 0.1000, d = 0.7000, E(c,d) = 4.1521e-01
c = 0.1000, d = 0.8000, E(c,d) = 5.5247e-01
c = 0.1000, d = 0.9000, E(c,d) = 7.0974e-01
c = 0.1000, d = 1.0000, E(c,d) = 8.8701e-01
c = 0.2000, d = 0.0000, E(c,d) = 4.4622e-02
c = 0.2000, d = 0.1000, E(c,d) = 4.1889e-02
c = 0.2000, d = 0.2000, E(c,d) = 5.9156e-02
c = 0.2000, d = 0.3000, E(c,d) = 9.6423e-02
c = 0.2000, d = 0.4000, E(c,d) = 1.5369e-01
c = 0.2000, d = 0.5000, E(c,d) = 2.3096e-01
c = 0.2000, d = 0.6000, E(c,d) = 3.2822e-01
c = 0.2000, d = 0.7000, E(c,d) = 4.4549e-01
c = 0.2000, d = 0.8000, E(c,d) = 5.8276e-01
c = 0.2000, d = 0.9000, E(c,d) = 7.4002e-01
c = 0.2000, d = 1.0000, E(c,d) = 9.1729e-01
c = 0.3000, d = 0.0000, E(c,d) = 9.4906e-02
c = 0.3000, d = 0.1000, E(c,d) = 9.2173e-02
c = 0.3000, d = 0.2000, E(c,d) = 1.0944e-01
c = 0.3000, d = 0.3000, E(c,d) = 1.4671e-01
c = 0.3000, d = 0.4000, E(c,d) = 2.0397e-01
c = 0.3000, d = 0.5000, E(c,d) = 2.8124e-01
c = 0.3000, d = 0.6000, E(c,d) = 3.7851e-01
c = 0.3000, d = 0.7000, E(c,d) = 4.9577e-01
c = 0.3000, d = 0.8000, E(c,d) = 6.3304e-01
c = 0.3000, d = 0.9000, E(c,d) = 7.9031e-01
c = 0.3000, d = 1.0000, E(c,d) = 9.6757e-01
c = 0.4000, d = 0.0000, E(c,d) = 1.6519e-01
c = 0.4000, d = 0.1000, E(c,d) = 1.6246e-01
c = 0.4000, d = 0.2000, E(c,d) = 1.7972e-01
c = 0.4000, d = 0.3000, E(c,d) = 2.1699e-01
c = 0.4000, d = 0.4000, E(c,d) = 2.7426e-01
c = 0.4000, d = 0.5000, E(c,d) = 3.5152e-01
c = 0.4000, d = 0.6000, E(c,d) = 4.4879e-01
c = 0.4000, d = 0.7000, E(c,d) = 5.6606e-01
c = 0.4000, d = 0.8000, E(c,d) = 7.0332e-01
c = 0.4000, d = 0.9000, E(c,d) = 8.6059e-01
c = 0.4000, d = 1.0000, E(c,d) = 1.0379e+00
c = 0.5000, d = 0.0000, E(c,d) = 2.5547e-01
c = 0.5000, d = 0.1000, E(c,d) = 2.5274e-01
c = 0.5000, d = 0.2000, E(c,d) = 2.7001e-01
c = 0.5000, d = 0.3000, E(c,d) = 3.0727e-01
c = 0.5000, d = 0.4000, E(c,d) = 3.6454e-01
c = 0.5000, d = 0.5000, E(c,d) = 4.4181e-01
c = 0.5000, d = 0.6000, E(c,d) = 5.3907e-01
c = 0.5000, d = 0.7000, E(c,d) = 6.5634e-01
c = 0.5000, d = 0.8000, E(c,d) = 7.9361e-01
c = 0.5000, d = 0.9000, E(c,d) = 9.5087e-01
c = 0.5000, d = 1.0000, E(c,d) = 1.1281e+00
c = 0.6000, d = 0.0000, E(c,d) = 3.6576e-01
c = 0.6000, d = 0.1000, E(c,d) = 3.6302e-01
c = 0.6000, d = 0.2000, E(c,d) = 3.8029e-01
c = 0.6000, d = 0.3000, E(c,d) = 4.1756e-01
c = 0.6000, d = 0.4000, E(c,d) = 4.7482e-01
c = 0.6000, d = 0.5000, E(c,d) = 5.5209e-01
c = 0.6000, d = 0.6000, E(c,d) = 6.4936e-01
c = 0.6000, d = 0.7000, E(c,d) = 7.6662e-01
c = 0.6000, d = 0.8000, E(c,d) = 9.0389e-01
c = 0.6000, d = 0.9000, E(c,d) = 1.0612e+00
c = 0.6000, d = 1.0000, E(c,d) = 1.2384e+00
c = 0.7000, d = 0.0000, E(c,d) = 4.9604e-01
c = 0.7000, d = 0.1000, E(c,d) = 4.9331e-01
c = 0.7000, d = 0.2000, E(c,d) = 5.1057e-01
c = 0.7000, d = 0.3000, E(c,d) = 5.4784e-01
c = 0.7000, d = 0.4000, E(c,d) = 6.0511e-01
c = 0.7000, d = 0.5000, E(c,d) = 6.8237e-01
c = 0.7000, d = 0.6000, E(c,d) = 7.7964e-01
c = 0.7000, d = 0.7000, E(c,d) = 8.9691e-01
c = 0.7000, d = 0.8000, E(c,d) = 1.0342e+00
c = 0.7000, d = 0.9000, E(c,d) = 1.1914e+00
c = 0.7000, d = 1.0000, E(c,d) = 1.3687e+00
c = 0.8000, d = 0.0000, E(c,d) = 6.4632e-01
c = 0.8000, d = 0.1000, E(c,d) = 6.4359e-01
c = 0.8000, d = 0.2000, E(c,d) = 6.6086e-01
c = 0.8000, d = 0.3000, E(c,d) = 6.9812e-01
c = 0.8000, d = 0.4000, E(c,d) = 7.5539e-01
