=== MATH333 Final Project Output ===
Generated: 2025-11-26 00:35:08
Output file: output_20251126_003508.txt

c = 0.0, d = 0.0, E(c,d) = 4.2604e-03
c = 0.0, d = 0.1, E(c,d) = 1.4589e-03
c = 0.0, d = 0.2, E(c,d) = 1.9177e-02
c = 0.0, d = 0.3, E(c,d) = 5.1837e-02
c = 0.0, d = 0.4, E(c,d) = 8.8848e-02
c = 0.0, d = 0.5, E(c,d) = 1.1844e-01
c = 0.0, d = 0.6, E(c,d) = 1.3507e-01
c = 0.0, d = 0.7, E(c,d) = 1.4968e-01
c = 0.0, d = 0.8, E(c,d) = 2.0072e-01
c = 0.0, d = 0.9, E(c,d) = 3.6587e-01
c = 0.0, d = 1.0, E(c,d) = 7.6343e-01
c = 0.1, d = 0.0, E(c,d) = 1.3145e-02
c = 0.1, d = 0.1, E(c,d) = 1.7694e-02
c = 0.1, d = 0.2, E(c,d) = 4.0638e-02
c = 0.1, d = 0.3, E(c,d) = 7.5619e-02
c = 0.1, d = 0.4, E(c,d) = 1.1131e-01
c = 0.1, d = 0.5, E(c,d) = 1.3590e-01
c = 0.1, d = 0.6, E(c,d) = 1.4538e-01
c = 0.1, d = 0.7, E(c,d) = 1.5374e-01
c = 0.1, d = 0.8, E(c,d) = 2.0189e-01
c = 0.1, d = 0.9, E(c,d) = 3.6665e-01
c = 0.1, d = 1.0, E(c,d) = 7.6341e-01
c = 0.2, d = 0.0, E(c,d) = 4.0793e-02
c = 0.2, d = 0.1, E(c,d) = 5.1099e-02
c = 0.2, d = 0.2, E(c,d) = 7.3863e-02
c = 0.2, d = 0.3, E(c,d) = 1.0232e-01
c = 0.2, d = 0.4, E(c,d) = 1.2632e-01
c = 0.2, d = 0.5, E(c,d) = 1.3787e-01
c = 0.2, d = 0.6, E(c,d) = 1.3973e-01
c = 0.2, d = 0.7, E(c,d) = 1.5364e-01
c = 0.2, d = 0.8, E(c,d) = 2.2627e-01
c = 0.2, d = 0.9, E(c,d) = 4.3632e-01
c = 0.2, d = 1.0, E(c,d) = 8.9350e-01
c = 0.3, d = 0.0, E(c,d) = 6.3158e-02
c = 0.3, d = 0.1, E(c,d) = 7.4387e-02
c = 0.3, d = 0.2, E(c,d) = 9.0246e-02
c = 0.3, d = 0.3, E(c,d) = 1.0525e-01
c = 0.3, d = 0.4, E(c,d) = 1.1407e-01
c = 0.3, d = 0.5, E(c,d) = 1.1734e-01
c = 0.3, d = 0.6, E(c,d) = 1.2804e-01
c = 0.3, d = 0.7, E(c,d) = 1.7618e-01
c = 0.3, d = 0.8, E(c,d) = 3.1333e-01
c = 0.3, d = 0.9, E(c,d) = 6.2009e-01
c = 0.3, d = 1.0, E(c,d) = 1.1891e+00
c = 0.4, d = 0.0, E(c,d) = 6.3060e-02
c = 0.4, d = 0.1, E(c,d) = 6.7774e-02
c = 0.4, d = 0.2, E(c,d) = 7.4950e-02
c = 0.4, d = 0.3, E(c,d) = 8.2663e-02
c = 0.4, d = 0.4, E(c,d) = 9.3167e-02
c = 0.4, d = 0.5, E(c,d) = 1.1629e-01
c = 0.4, d = 0.6, E(c,d) = 1.7243e-01
c = 0.4, d = 0.7, E(c,d) = 2.9624e-01
c = 0.4, d = 0.8, E(c,d) = 5.4414e-01
c = 0.4, d = 0.9, E(c,d) = 9.9287e-01
c = 0.4, d = 1.0, E(c,d) = 1.6767e+00
c = 0.5, d = 0.0, E(c,d) = 1.2656e-01
c = 0.5, d = 0.1, E(c,d) = 1.1386e-01
c = 0.5, d = 0.2, E(c,d) = 1.1723e-01
c = 0.5, d = 0.3, E(c,d) = 1.3628e-01
c = 0.5, d = 0.4, E(c,d) = 1.7677e-01
c = 0.5, d = 0.5, E(c,d) = 2.5183e-01
c = 0.5, d = 0.6, E(c,d) = 3.8550e-01
c = 0.5, d = 0.7, E(c,d) = 6.1931e-01
c = 0.5, d = 0.8, E(c,d) = 1.0107e+00
c = 0.5, d = 0.9, E(c,d) = 1.5884e+00
c = 0.5, d = 1.0, E(c,d) = 2.2357e+00
c = 0.6, d = 0.0, E(c,d) = 4.4914e-01
c = 0.6, d = 0.1, E(c,d) = 4.0203e-01
c = 0.6, d = 0.2, E(c,d) = 3.9363e-01
c = 0.6, d = 0.3, E(c,d) = 4.2244e-01
c = 0.6, d = 0.4, E(c,d) = 4.9484e-01
c = 0.6, d = 0.5, E(c,d) = 6.2834e-01
c = 0.6, d = 0.6, E(c,d) = 8.5433e-01
c = 0.6, d = 0.7, E(c,d) = 1.2089e+00
c = 0.6, d = 0.8, E(c,d) = 1.6908e+00
c = 0.6, d = 0.9, E(c,d) = 2.1800e+00
c = 0.6, d = 1.0, E(c,d) = 2.3945e+00
c = 0.7, d = 0.0, E(c,d) = 9.4049e-01
c = 0.7, d = 0.1, E(c,d) = 8.8018e-01
c = 0.7, d = 0.2, E(c,d) = 8.6769e-01
c = 0.7, d = 0.3, E(c,d) = 9.1179e-01
c = 0.7, d = 0.4, E(c,d) = 1.0266e+00
c = 0.7, d = 0.5, E(c,d) = 1.2290e+00
c = 0.7, d = 0.6, E(c,d) = 1.5225e+00
c = 0.7, d = 0.7, E(c,d) = 1.8611e+00
c = 0.7, d = 0.8, E(c,d) = 2.1093e+00
c = 0.7, d = 0.9, E(c,d) = 2.0722e+00
c = 0.7, d = 1.0, E(c,d) = 1.6717e+00
c = 0.8, d = 0.0, E(c,d) = 1.2435e+00
c = 0.8, d = 0.1, E(c,d) = 1.2597e+00
c = 0.8, d = 0.2, E(c,d) = 1.3109e+00
c = 0.8, d = 0.3, E(c,d) = 1.4076e+00
c = 0.8, d = 0.4, E(c,d) = 1.5468e+00
c = 0.8, d = 0.5, E(c,d) = 1.6988e+00
c = 0.8, d = 0.6, E(c,d) = 1.7948e+00
c = 0.8, d = 0.7, E(c,d) = 1.7399e+00
c = 0.8, d = 0.8, E(c,d) = 1.4792e+00
c = 0.8, d = 0.9, E(c,d) = 1.0795e+00
c = 0.8, d = 1.0, E(c,d) = 7.2406e-01
c = 0.9, d = 0.0, E(c,d) = 1.0633e+00
c = 0.9, d = 0.1, E(c,d) = 1.1540e+00
c = 0.9, d = 0.2, E(c,d) = 1.2191e+00
c = 0.9, d = 0.3, E(c,d) = 1.2501e+00
c = 0.9, d = 0.4, E(c,d) = 1.2267e+00
c = 0.9, d = 0.5, E(c,d) = 1.1274e+00
c = 0.9, d = 0.6, E(c,d) = 9.5082e-01
c = 0.9, d = 0.7, E(c,d) = 7.3700e-01
c = 0.9, d = 0.8, E(c,d) = 5.6744e-01
c = 0.9, d = 0.9, E(c,d) = 5.3445e-01
c = 0.9, d = 1.0, E(c,d) = 7.0466e-01
c = 1.0, d = 0.0, E(c,d) = 3.8084e-01
c = 1.0, d = 0.1, E(c,d) = 4.0860e-01
c = 1.0, d = 0.2, E(c,d) = 4.2894e-01
c = 1.0, d = 0.3, E(c,d) = 4.3367e-01
c = 1.0, d = 0.4, E(c,d) = 4.2911e-01
c = 1.0, d = 0.5, E(c,d) = 4.3509e-01
c = 1.0, d = 0.6, E(c,d) = 4.8150e-01
c = 1.0, d = 0.7, E(c,d) = 6.0048e-01
c = 1.0, d = 0.8, E(c,d) = 8.1827e-01
c = 1.0, d = 0.9, E(c,d) = 1.1575e+00
c = 1.0, d = 1.0, E(c,d) = 1.6569e+00

Error Matrix (11×11):
['4.2604e-03', '1.4589e-03', '1.9177e-02', '5.1837e-02', '8.8848e-02', '1.1844e-01', '1.3507e-01', '1.4968e-01', '2.0072e-01', '3.6587e-01', '7.6343e-01']
['1.3145e-02', '1.7694e-02', '4.0638e-02', '7.5619e-02', '1.1131e-01', '1.3590e-01', '1.4538e-01', '1.5374e-01', '2.0189e-01', '3.6665e-01', '7.6341e-01']
['4.0793e-02', '5.1099e-02', '7.3863e-02', '1.0232e-01', '1.2632e-01', '1.3787e-01', '1.3973e-01', '1.5364e-01', '2.2627e-01', '4.3632e-01', '8.9350e-01']
['6.3158e-02', '7.4387e-02', '9.0246e-02', '1.0525e-01', '1.1407e-01', '1.1734e-01', '1.2804e-01', '1.7618e-01', '3.1333e-01', '6.2009e-01', '1.1891e+00']
['6.3060e-02', '6.7774e-02', '7.4950e-02', '8.2663e-02', '9.3167e-02', '1.1629e-01', '1.7243e-01', '2.9624e-01', '5.4414e-01', '9.9287e-01', '1.6767e+00']
['1.2656e-01', '1.1386e-01', '1.1723e-01', '1.3628e-01', '1.7677e-01', '2.5183e-01', '3.8550e-01', '6.1931e-01', '1.0107e+00', '1.5884e+00', '2.2357e+00']
['4.4914e-01', '4.0203e-01', '3.9363e-01', '4.2244e-01', '4.9484e-01', '6.2834e-01', '8.5433e-01', '1.2089e+00', '1.6908e+00', '2.1800e+00', '2.3945e+00']
['9.4049e-01', '8.8018e-01', '8.6769e-01', '9.1179e-01', '1.0266e+00', '1.2290e+00', '1.5225e+00', '1.8611e+00', '2.1093e+00', '2.0722e+00', '1.6717e+00']
['1.2435e+00', '1.2597e+00', '1.3109e+00', '1.4076e+00', '1.5468e+00', '1.6988e+00', '1.7948e+00', '1.7399e+00', '1.4792e+00', '1.0795e+00', '7.2406e-01']
['1.0633e+00', '1.1540e+00', '1.2191e+00', '1.2501e+00', '1.2267e+00', '1.1274e+00', '9.5082e-01', '7.3700e-01', '5.6744e-01', '5.3445e-01', '7.0466e-01']
['3.8084e-01', '4.0860e-01', '4.2894e-01', '4.3367e-01', '4.2911e-01', '4.3509e-01', '4.8150e-01', '6.0048e-01', '8.1827e-01', '1.1575e+00', '1.6569e+00']

Best grid point:
(c, d) = (0.0, 0.1),  E = 1.4589e-03

=== Local grid search around (c0=0.0, d0=0.1), label = small ===
c = -0.100, d = 0.000, E(c,d) = 2.1327e-02
c = -0.100, d = 0.010, E(c,d) = 1.9503e-02
c = -0.100, d = 0.020, E(c,d) = 1.7863e-02
c = -0.100, d = 0.030, E(c,d) = 1.6409e-02
c = -0.100, d = 0.040, E(c,d) = 1.5146e-02
c = -0.100, d = 0.050, E(c,d) = 1.4075e-02
c = -0.100, d = 0.060, E(c,d) = 1.3199e-02
c = -0.100, d = 0.070, E(c,d) = 1.2519e-02
c = -0.100, d = 0.080, E(c,d) = 1.2035e-02
c = -0.100, d = 0.090, E(c,d) = 1.1747e-02
c = -0.100, d = 0.100, E(c,d) = 1.1655e-02
c = -0.100, d = 0.110, E(c,d) = 1.1757e-02
c = -0.100, d = 0.120, E(c,d) = 1.2051e-02
c = -0.100, d = 0.130, E(c,d) = 1.2535e-02
c = -0.100, d = 0.140, E(c,d) = 1.3205e-02
c = -0.100, d = 0.150, E(c,d) = 1.4058e-02
c = -0.100, d = 0.160, E(c,d) = 1.5089e-02
c = -0.100, d = 0.170, E(c,d) = 1.6293e-02
c = -0.100, d = 0.180, E(c,d) = 1.7665e-02
c = -0.100, d = 0.190, E(c,d) = 1.9199e-02
c = -0.100, d = 0.200, E(c,d) = 2.0888e-02
c = -0.090, d = 0.000, E(c,d) = 1.8596e-02
c = -0.090, d = 0.010, E(c,d) = 1.6816e-02
c = -0.090, d = 0.020, E(c,d) = 1.5224e-02
c = -0.090, d = 0.030, E(c,d) = 1.3822e-02
c = -0.090, d = 0.040, E(c,d) = 1.2615e-02
c = -0.090, d = 0.050, E(c,d) = 1.1604e-02
c = -0.090, d = 0.060, E(c,d) = 1.0791e-02
c = -0.090, d = 0.070, E(c,d) = 1.0178e-02
c = -0.090, d = 0.080, E(c,d) = 9.7649e-03
c = -0.090, d = 0.090, E(c,d) = 9.5515e-03
c = -0.090, d = 0.100, E(c,d) = 9.5370e-03
c = -0.090, d = 0.110, E(c,d) = 9.7200e-03
c = -0.090, d = 0.120, E(c,d) = 1.0098e-02
c = -0.090, d = 0.130, E(c,d) = 1.0669e-02
c = -0.090, d = 0.140, E(c,d) = 1.1430e-02
c = -0.090, d = 0.150, E(c,d) = 1.2375e-02
c = -0.090, d = 0.160, E(c,d) = 1.3502e-02
c = -0.090, d = 0.170, E(c,d) = 1.4805e-02
c = -0.090, d = 0.180, E(c,d) = 1.6277e-02
c = -0.090, d = 0.190, E(c,d) = 1.7914e-02
c = -0.090, d = 0.200, E(c,d) = 1.9708e-02
c = -0.080, d = 0.000, E(c,d) = 1.6058e-02
c = -0.080, d = 0.010, E(c,d) = 1.4326e-02
c = -0.080, d = 0.020, E(c,d) = 1.2785e-02
c = -0.080, d = 0.030, E(c,d) = 1.1439e-02
c = -0.080, d = 0.040, E(c,d) = 1.0290e-02
c = -0.080, d = 0.050, E(c,d) = 9.3414e-03
c = -0.080, d = 0.060, E(c,d) = 8.5945e-03
c = -0.080, d = 0.070, E(c,d) = 8.0503e-03
c = -0.080, d = 0.080, E(c,d) = 7.7092e-03
c = -0.080, d = 0.090, E(c,d) = 7.5711e-03
c = -0.080, d = 0.100, E(c,d) = 7.6349e-03
c = -0.080, d = 0.110, E(c,d) = 7.8991e-03
c = -0.080, d = 0.120, E(c,d) = 8.3614e-03
c = -0.080, d = 0.130, E(c,d) = 9.0191e-03
c = -0.080, d = 0.140, E(c,d) = 9.8687e-03
c = -0.080, d = 0.150, E(c,d) = 1.0906e-02
c = -0.080, d = 0.160, E(c,d) = 1.2127e-02
c = -0.080, d = 0.170, E(c,d) = 1.3526e-02
c = -0.080, d = 0.180, E(c,d) = 1.5096e-02
c = -0.080, d = 0.190, E(c,d) = 1.6833e-02
c = -0.080, d = 0.200, E(c,d) = 1.8729e-02
c = -0.070, d = 0.000, E(c,d) = 1.3730e-02
c = -0.070, d = 0.010, E(c,d) = 1.2049e-02
c = -0.070, d = 0.020, E(c,d) = 1.0563e-02
c = -0.070, d = 0.030, E(c,d) = 9.2750e-03
c = -0.070, d = 0.040, E(c,d) = 8.1875e-03
c = -0.070, d = 0.050, E(c,d) = 7.3032e-03
c = -0.070, d = 0.060, E(c,d) = 6.6237e-03
c = -0.070, d = 0.070, E(c,d) = 6.1498e-03
c = -0.070, d = 0.080, E(c,d) = 5.8820e-03
c = -0.070, d = 0.090, E(c,d) = 5.8197e-03
c = -0.070, d = 0.100, E(c,d) = 5.9621e-03
c = -0.070, d = 0.110, E(c,d) = 6.3073e-03
c = -0.070, d = 0.120, E(c,d) = 6.8532e-03
c = -0.070, d = 0.130, E(c,d) = 7.5968e-03
c = -0.070, d = 0.140, E(c,d) = 8.5346e-03
c = -0.070, d = 0.150, E(c,d) = 9.6623e-03
c = -0.070, d = 0.160, E(c,d) = 1.0975e-02
c = -0.070, d = 0.170, E(c,d) = 1.2468e-02
c = -0.070, d = 0.180, E(c,d) = 1.4135e-02
c = -0.070, d = 0.190, E(c,d) = 1.5969e-02
c = -0.070, d = 0.200, E(c,d) = 1.7964e-02
c = -0.060, d = 0.000, E(c,d) = 1.1625e-02
c = -0.060, d = 0.010, E(c,d) = 9.9997e-03
c = -0.060, d = 0.020, E(c,d) = 8.5715e-03
c = -0.060, d = 0.030, E(c,d) = 7.3441e-03
c = -0.060, d = 0.040, E(c,d) = 6.3203e-03
c = -0.060, d = 0.050, E(c,d) = 5.5023e-03
c = -0.060, d = 0.060, E(c,d) = 4.8917e-03
c = -0.060, d = 0.070, E(c,d) = 4.4894e-03
c = -0.060, d = 0.080, E(c,d) = 4.2955e-03
c = -0.060, d = 0.090, E(c,d) = 4.3095e-03
c = -0.060, d = 0.100, E(c,d) = 4.5305e-03
c = -0.060, d = 0.110, E(c,d) = 4.9565e-03
c = -0.060, d = 0.120, E(c,d) = 5.5853e-03
c = -0.060, d = 0.130, E(c,d) = 6.4137e-03
c = -0.060, d = 0.140, E(c,d) = 7.4382e-03
c = -0.060, d = 0.150, E(c,d) = 8.6545e-03
c = -0.060, d = 0.160, E(c,d) = 1.0058e-02
c = -0.060, d = 0.170, E(c,d) = 1.1642e-02
c = -0.060, d = 0.180, E(c,d) = 1.3402e-02
c = -0.060, d = 0.190, E(c,d) = 1.5331e-02
c = -0.060, d = 0.200, E(c,d) = 1.7422e-02
c = -0.050, d = 0.000, E(c,d) = 9.7564e-03
c = -0.050, d = 0.010, E(c,d) = 8.1893e-03
c = -0.050, d = 0.020, E(c,d) = 6.8220e-03
c = -0.050, d = 0.030, E(c,d) = 5.6580e-03
c = -0.050, d = 0.040, E(c,d) = 4.6999e-03
c = -0.050, d = 0.050, E(c,d) = 3.9500e-03
c = -0.050, d = 0.060, E(c,d) = 3.4097e-03
c = -0.050, d = 0.070, E(c,d) = 3.0798e-03
c = -0.050, d = 0.080, E(c,d) = 2.9604e-03
c = -0.050, d = 0.090, E(c,d) = 3.0509e-03
c = -0.050, d = 0.100, E(c,d) = 3.3503e-03
c = -0.050, d = 0.110, E(c,d) = 3.8565e-03
c = -0.050, d = 0.120, E(c,d) = 4.5672e-03
c = -0.050, d = 0.130, E(c,d) = 5.4793e-03
c = -0.050, d = 0.140, E(c,d) = 6.5889e-03
c = -0.050, d = 0.150, E(c,d) = 7.8918e-03
c = -0.050, d = 0.160, E(c,d) = 9.3830e-03
c = -0.050, d = 0.170, E(c,d) = 1.1057e-02
c = -0.050, d = 0.180, E(c,d) = 1.2907e-02
c = -0.050, d = 0.190, E(c,d) = 1.4928e-02
c = -0.050, d = 0.200, E(c,d) = 1.7111e-02
c = -0.040, d = 0.000, E(c,d) = 8.1343e-03
c = -0.040, d = 0.010, E(c,d) = 6.6287e-03
c = -0.040, d = 0.020, E(c,d) = 5.3250e-03
c = -0.040, d = 0.030, E(c,d) = 4.2265e-03
c = -0.040, d = 0.040, E(c,d) = 3.3361e-03
c = -0.040, d = 0.050, E(c,d) = 2.6558e-03
c = -0.040, d = 0.060, E(c,d) = 2.1869e-03
c = -0.040, d = 0.070, E(c,d) = 1.9301e-03
c = -0.040, d = 0.080, E(c,d) = 1.8856e-03
c = -0.040, d = 0.090, E(c,d) = 2.0526e-03
c = -0.040, d = 0.100, E(c,d) = 2.4299e-03
c = -0.040, d = 0.110, E(c,d) = 3.0157e-03
c = -0.040, d = 0.120, E(c,d) = 3.8072e-03
c = -0.040, d = 0.130, E(c,d) = 4.8014e-03
c = -0.040, d = 0.140, E(c,d) = 5.9944e-03
c = -0.040, d = 0.150, E(c,d) = 7.3818e-03
c = -0.040, d = 0.160, E(c,d) = 8.9584e-03
c = -0.040, d = 0.170, E(c,d) = 1.0719e-02
c = -0.040, d = 0.180, E(c,d) = 1.2656e-02
c = -0.040, d = 0.190, E(c,d) = 1.4764e-02
c = -0.040, d = 0.200, E(c,d) = 1.7036e-02
c = -0.030, d = 0.000, E(c,d) = 6.7675e-03
c = -0.030, d = 0.010, E(c,d) = 5.3262e-03
c = -0.030, d = 0.020, E(c,d) = 4.0886e-03
c = -0.030, d = 0.030, E(c,d) = 3.0579e-03
c = -0.030, d = 0.040, E(c,d) = 2.2369e-03
c = -0.030, d = 0.050, E(c,d) = 1.6274e-03
c = -0.030, d = 0.060, E(c,d) = 1.2308e-03
c = -0.030, d = 0.070, E(c,d) = 1.0478e-03
c = -0.030, d = 0.080, E(c,d) = 1.0782e-03
c = -0.030, d = 0.090, E(c,d) = 1.3215e-03
c = -0.030, d = 0.100, E(c,d) = 1.7763e-03
c = -0.030, d = 0.110, E(c,d) = 2.4406e-03
c = -0.030, d = 0.120, E(c,d) = 3.3117e-03
c = -0.030, d = 0.130, E(c,d) = 4.3863e-03
c = -0.030, d = 0.140, E(c,d) = 5.6607e-03
c = -0.030, d = 0.150, E(c,d) = 7.1301e-03
c = -0.030, d = 0.160, E(c,d) = 8.7895e-03
c = -0.030, d = 0.170, E(c,d) = 1.0633e-02
c = -0.030, d = 0.180, E(c,d) = 1.2655e-02
c = -0.030, d = 0.190, E(c,d) = 1.4847e-02
c = -0.030, d = 0.200, E(c,d) = 1.7203e-02
c = -0.020, d = 0.000, E(c,d) = 5.6631e-03
c = -0.020, d = 0.010, E(c,d) = 4.2888e-03
c = -0.020, d = 0.020, E(c,d) = 3.1195e-03
c = -0.020, d = 0.030, E(c,d) = 2.1585e-03
c = -0.020, d = 0.040, E(c,d) = 1.4083e-03
c = -0.020, d = 0.050, E(c,d) = 8.7082e-04
c = -0.020, d = 0.060, E(c,d) = 5.4731e-04
c = -0.020, d = 0.070, E(c,d) = 4.3835e-04
c = -0.020, d = 0.080, E(c,d) = 5.4383e-04
c = -0.020, d = 0.090, E(c,d) = 8.6301e-04
c = -0.020, d = 0.100, E(c,d) = 1.3945e-03
c = -0.020, d = 0.110, E(c,d) = 2.1362e-03
c = -0.020, d = 0.120, E(c,d) = 3.0853e-03
c = -0.020, d = 0.130, E(c,d) = 4.2386e-03
c = -0.020, d = 0.140, E(c,d) = 5.5921e-03
c = -0.020, d = 0.150, E(c,d) = 7.1411e-03
c = -0.020, d = 0.160, E(c,d) = 8.8803e-03
c = -0.020, d = 0.170, E(c,d) = 1.0804e-02
c = -0.020, d = 0.180, E(c,d) = 1.2906e-02
c = -0.020, d = 0.190, E(c,d) = 1.5178e-02
c = -0.020, d = 0.200, E(c,d) = 1.7614e-02
c = -0.010, d = 0.000, E(c,d) = 4.8262e-03
c = -0.010, d = 0.010, E(c,d) = 3.5214e-03
c = -0.010, d = 0.020, E(c,d) = 2.4226e-03
c = -0.010, d = 0.030, E(c,d) = 1.5330e-03
c = -0.010, d = 0.040, E(c,d) = 8.5499e-04
c = -0.010, d = 0.050, E(c,d) = 3.9048e-04
c = -0.010, d = 0.060, E(c,d) = 1.4063e-04
c = -0.010, d = 0.070, E(c,d) = 1.0595e-04
c = -0.010, d = 0.080, E(c,d) = 2.8628e-04
c = -0.010, d = 0.090, E(c,d) = 6.8081e-04
c = -0.010, d = 0.100, E(c,d) = 1.2880e-03
c = -0.010, d = 0.110, E(c,d) = 2.1058e-03
c = -0.010, d = 0.120, E(c,d) = 3.1314e-03
c = -0.010, d = 0.130, E(c,d) = 4.3614e-03
c = -0.010, d = 0.140, E(c,d) = 5.7916e-03
c = -0.010, d = 0.150, E(c,d) = 7.4174e-03
c = -0.010, d = 0.160, E(c,d) = 9.2334e-03
c = -0.010, d = 0.170, E(c,d) = 1.1234e-02
c = -0.010, d = 0.180, E(c,d) = 1.3412e-02
c = -0.010, d = 0.190, E(c,d) = 1.5761e-02
c = -0.010, d = 0.200, E(c,d) = 1.8272e-02
c = -0.000, d = 0.000, E(c,d) = 4.2604e-03
c = -0.000, d = 0.010, E(c,d) = 3.0275e-03
c = -0.000, d = 0.020, E(c,d) = 2.0012e-03
c = -0.000, d = 0.030, E(c,d) = 1.1845e-03
c = -0.000, d = 0.040, E(c,d) = 5.7985e-04
c = -0.000, d = 0.050, E(c,d) = 1.8911e-04
c = -0.000, d = 0.060, E(c,d) = 1.3343e-05
c = -0.000, d = 0.070, E(c,d) = 5.2998e-05
c = -0.000, d = 0.080, E(c,d) = 3.0785e-04
c = -0.000, d = 0.090, E(c,d) = 7.7701e-04
c = -0.000, d = 0.100, E(c,d) = 1.4589e-03
c = -0.000, d = 0.110, E(c,d) = 2.3514e-03
c = -0.000, d = 0.120, E(c,d) = 3.4516e-03
c = -0.000, d = 0.130, E(c,d) = 4.7560e-03
c = -0.000, d = 0.140, E(c,d) = 6.2604e-03
c = -0.000, d = 0.150, E(c,d) = 7.9601e-03
c = -0.000, d = 0.160, E(c,d) = 9.8497e-03
c = -0.000, d = 0.170, E(c,d) = 1.1923e-02
c = -0.000, d = 0.180, E(c,d) = 1.4174e-02
c = -0.000, d = 0.190, E(c,d) = 1.6594e-02
c = -0.000, d = 0.200, E(c,d) = 1.9177e-02
c = 0.010, d = 0.000, E(c,d) = 3.9677e-03
c = 0.010, d = 0.010, E(c,d) = 2.8088e-03
c = 0.010, d = 0.020, E(c,d) = 1.8567e-03
c = 0.010, d = 0.030, E(c,d) = 1.1144e-03
c = 0.010, d = 0.040, E(c,d) = 5.8416e-04
c = 0.010, d = 0.050, E(c,d) = 2.6784e-04
c = 0.010, d = 0.060, E(c,d) = 1.6643e-04
c = 0.010, d = 0.070, E(c,d) = 2.8031e-04
c = 0.010, d = 0.080, E(c,d) = 6.0920e-04
c = 0.010, d = 0.090, E(c,d) = 1.1521e-03
c = 0.010, d = 0.100, E(c,d) = 1.9075e-03
c = 0.010, d = 0.110, E(c,d) = 2.8731e-03
c = 0.010, d = 0.120, E(c,d) = 4.0459e-03
c = 0.010, d = 0.130, E(c,d) = 5.4224e-03
c = 0.010, d = 0.140, E(c,d) = 6.9983e-03
c = 0.010, d = 0.150, E(c,d) = 8.7688e-03
c = 0.010, d = 0.160, E(c,d) = 1.0728e-02
c = 0.010, d = 0.170, E(c,d) = 1.2871e-02
c = 0.010, d = 0.180, E(c,d) = 1.5190e-02
c = 0.010, d = 0.190, E(c,d) = 1.7678e-02
c = 0.010, d = 0.200, E(c,d) = 2.0327e-02
c = 0.020, d = 0.000, E(c,d) = 3.9484e-03
c = 0.020, d = 0.010, E(c,d) = 2.8655e-03
